,anio,cesareas,establecimiento_nombre,establecimiento_dependencia,establecimiento_region_sanitaria,establecimiento_municipio_id,establecimiento_municipio_nombre,partos,latitud,longitud
0,2014,130,Hospital Subzonal Saturnino Unzué,municipal,X,60854,25 de Mayo,284,-35.5265113228112,-60.2301576569223
1,2014,0,Hospital Local General N. de La Riestra,municipal,X,60854,25 de Mayo,1,-35.5265113228112,-60.2301576569223
2,2015,128,Hospital Subzonal Saturnino Unzué,municipal,X,60854,25 de Mayo,297,-35.5265113228112,-60.2301576569223
3,2016,115,Hospital Subzonal Saturnino Unzué,Municipal,X,60854,25 de Mayo,267,-35.5265113228112,-60.2301576569223
4,2017,91,Hospital Subzonal Saturnino Unzué,municipal,X,60854,25 de Mayo,253,-35.5265113228112,-60.2301576569223
5,2015,0,Hospital Local General N. de La Riestra,municipal,X,60854,25 de Mayo,4,-35.5265113228112,-60.2301576569223
6,2016,0,Hospital Local General N. de La Riestra,Municipal,X,60854,25 de Mayo,2,-35.5265113228112,-60.2301576569223
7,2017,0,Hospital Local General San Roque N. de La Riestra,municipal,X,60854,25 de Mayo,5,-35.5265113228112,-60.2301576569223
8,2014,189,Hospital Subzonal General de Ag. J de Vedia,provincial,II,60588,9 de Julio,385,-35.481190578256,-60.9751157295027
9,2014,0,Hospital Municipal Doctor Manuel F. Arce,provincial,II,60588,9 de Julio,1,-35.481190578256,-60.9751157295027
10,2014,0,Hospital Quiroga,municipal,II,60588,9 de Julio,0,-35.481190578256,-60.9751157295027
11,2014,0,Hospital Municipal E. Dudignac,municipal,II,60588,9 de Julio,0,-35.481190578256,-60.9751157295027
12,2014,0,Hospital Municipal Doctor Manuel Arce,municipal,II,60588,9 de Julio,0,-35.481190578256,-60.9751157295027
13,2016,166,Hospital Subzonal General de Ag. J de Vedia,Provincial,II,60588,9 de Julio,351,-35.481190578256,-60.9751157295027
14,2015,163,Hospital Subzonal General de Ag. J de Vedia,provincial,II,60588,9 de Julio,363,-35.481190578256,-60.9751157295027
15,2017,144,Hospital Zonal General de Ag. Julio de Vedia,Provincial,II,60588,9 de Julio,303,-35.481190578256,-60.9751157295027
16,2015,0,Hospital Municipal Doctor Manuel F. Arce,provincial,II,60588,9 de Julio,1,-35.481190578256,-60.9751157295027
17,2015,0,HospitalQuiroga,municipal,II,60588,9 de Julio,0,-35.481190578256,-60.9751157295027
18,2015,0,Hospital Municipal E. Dudignac,municipal,II,60588,9 de Julio,0,-35.481190578256,-60.9751157295027
19,2015,0,Hospital Municipal Doctor Manuel Arce,municipal,II,60588,9 de Julio,0,-35.481190578256,-60.9751157295027
20,2017,0,Hospital Municipal Doctor Manuel F. Arce,municipal,II,60588,9 de Julio,1,-35.481190578256,-60.9751157295027
21,2014,122,Hospital Local General José de San Martín,municipal,I,60007,Adolfo Alsina,177,-37.1963375143524,-63.0560058448787
22,2014,0,Unidad Sanitaria Dr Loyarte,municipal,I,60007,Adolfo Alsina,0,-37.1963375143524,-63.0560058448787
23,2014,0,Hospital Doctor Noe Yarcho,municipal,I,60007,Adolfo Alsina,0,-37.1963375143524,-63.0560058448787
24,2016,139,Hospital Local General José de San Martín,Municipal,I,60007,Adolfo Alsina,185,-37.1963375143524,-63.0560058448787
25,2015,127,Hospital Local General José de San Martín,municipal,I,60007,Adolfo Alsina,182,-37.1963375143524,-63.0560058448787
26,2017,106,Hospital Local General San Martín  ,municipal,I,60007,Adolfo Alsina,143,-37.1963375143524,-63.0560058448787
27,2015,1,Hospital Doctor Noe Yarcho,municipal,I,60007,Adolfo Alsina,3,-37.1963375143524,-63.0560058448787
28,2015,0,Unidad Sanitaria Dr Loyarte,municipal,I,60007,Adolfo Alsina,0,-37.1963375143524,-63.0560058448787
29,2017,0,Hospital Municipal Doctor Noe Yarcho,municipal,I,60007,Adolfo Alsina,1,-37.1963375143524,-63.0560058448787
30,2014,50,Hospital Local General A. Elicagaray,municipal,I,60014,Adolfo Gonzales Chaves,103,-37.9642254145303,-60.2490776485677
31,2014,0,Unidad Sanitaria Doctor Madueño,municipal,I,60014,Adolfo Gonzales Chaves,0,-37.9642254145303,-60.2490776485677
32,2015,47,Hospital Local General A. Elicagaray,municipal,I,60014,Adolfo Gonzales Chaves,100,-37.9642254145303,-60.2490776485677
33,2016,44,Hospital Local General A. Elicagaray,Municipal,I,60014,Adolfo Gonzales Chaves,99,-37.9642254145303,-60.2490776485677
34,2017,43,Hospital Local General A. Elicagaray,municipal,I,60014,Adolfo Gonzales Chaves,80,-37.9642254145303,-60.2490776485677
35,2015,0,Unidad Sanitaria Doctor Madueño,municipal,I,60014,Adolfo Gonzales Chaves,0,-37.9642254145303,-60.2490776485677
36,2017,0,Unidad Sanit. Doctor F. Madueño,municipal,I,60014,Adolfo Gonzales Chaves,2,-37.9642254145303,-60.2490776485677
37,2014,38,Hospital Municipal Sra. de la Merced,municipal,X,60021,Alberti,60,-35.0363817959326,-60.2828693081193
38,2015,47,Hospital Municipal Sra. de la Merced,municipal,X,60021,Alberti,80,-35.0363817959326,-60.2828693081193
39,2017,34,Hospital Municipal Ntra. Sra. de la Merced,municipal,X,60021,Alberti,56,-35.0363817959326,-60.2828693081193
40,2016,31,Hospital Municipal Sra. de la Merced,Municipal,X,60021,Alberti,64,-35.0363817959326,-60.2828693081193
41,2014,764,Hospital Zonal General de Ag. Doctor A. Oñativia,provincial,VI,60028,Almirante Brown,3087,-34.8355700988623,-58.3673978494737
42,2014,695,Hospital Zonal General de Ag. L. Meléndez,provincial,VI,60028,Almirante Brown,2326,-34.8355700988623,-58.3673978494737
43,2015,725,Hospital Zonal General de Ag. Doctor A. Oñativia,provincial,VI,60028,Almirante Brown,2581,-34.8355700988623,-58.3673978494737
44,2016,679,Hospital Zonal General de Ag. Doctor A. Oñativia,Provincial,VI,60028,Almirante Brown,2551,-34.8355700988623,-58.3673978494737
45,2017,677,Hospital Zonal. General Ag. Doctor Arturo Oñativia,Provincial,VI,60028,Almirante Brown,2300,-34.8355700988623,-58.3673978494737
46,2015,655,Hospital Zonal General de Ag. L. Meléndez,provincial,VI,60028,Almirante Brown,2096,-34.8355700988623,-58.3673978494737
47,2017,589,Hospital Zonal General de Ag. Doctor Lucio Meléndez,Provincial,VI,60028,Almirante Brown,1681,-34.8355700988623,-58.3673978494737
48,2016,560,Hospital Zonal General de Ag. L. Meléndez,Provincial,VI,60028,Almirante Brown,1714,-34.8355700988623,-58.3673978494737
49,2014,294,Hospital Municipal Santa Francisca Romana,municipal,IV,60077,Arrecifes,432,-34.0113151746224,-60.0627625274553
50,2015,322,Hospital Municipal Santa Francisca Romana,municipal,IV,60077,Arrecifes,441,-34.0113151746224,-60.0627625274553
51,2016,280,Hospital Municipal Santa Francisca Romana,Municipal,IV,60077,Arrecifes,403,-34.0113151746224,-60.0627625274553
52,2017,277,Hospital Municipal Santa Francisca Romana,municipal,IV,60077,Arrecifes,435,-34.0113151746224,-60.0627625274553
53,2017,878,Hospital Subzonal Mat. Infantil Ana Goittia,Provincial,VI,60035,Avellaneda,2602,-34.6782056572109,-58.3411168921278
54,2016,821,Hospital Subzonal Materno Inf. A. Goitía,Provincial,VI,60035,Avellaneda,2747,-34.6782056572109,-58.3411168921278
55,2015,800,Hospital Subzonal Materno Inf. A. Goittía,provincial,VI,60035,Avellaneda,2595,-34.6782056572109,-58.3411168921278
56,2014,760,Hospital Subzonal Materno Inf. A. Goittía,provincial,VI,60035,Avellaneda,2436,-34.6782056572109,-58.3411168921278
57,2014,547,Hospital Interzonal General de Ag. Pte. Perón,provincial,VI,60035,Avellaneda,1579,-34.6782056572109,-58.3411168921278
58,2014,499,Hospital Interzonal General de Ag. Doctor P. Fiorito,provincial,VI,60035,Avellaneda,1464,-34.6782056572109,-58.3411168921278
59,2014,0,Hospital Municipal Doctor Eduardo  Wilde,provincial,VI,60035,Avellaneda,0,-34.6782056572109,-58.3411168921278
60,2015,669,Hospital Interzonal General de Ag. Pte. Perón,provincial,VI,60035,Avellaneda,1765,-34.6782056572109,-58.3411168921278
61,2014,0,Hospital Municipal Doctor Eduardo  Wilde,municipal,VI,60035,Avellaneda,4,-34.6782056572109,-58.3411168921278
62,2016,563,Hospital Interzonal General de Ag. Pte. Perón,Provincial,VI,60035,Avellaneda,1485,-34.6782056572109,-58.3411168921278
63,2017,410,Hospital Interzonal General de Ag. Pte. Perón,Provincial,VI,60035,Avellaneda,1141,-34.6782056572109,-58.3411168921278
64,2015,362,Hospital Interzonal General de Ag. Doctor P. Fiorito,provincial,VI,60035,Avellaneda,1184,-34.6782056572109,-58.3411168921278
65,2017,359,Hospital Interzonal General de Ag. Doctor Pedro Fiorito,Provincial,VI,60035,Avellaneda,957,-34.6782056572109,-58.3411168921278
66,2016,60,Hospital Interzonal General de Ag. Doctor P. Fiorito,Provincial,VI,60035,Avellaneda,168,-34.6782056572109,-58.3411168921278
67,2015,0,Hospital Municipal Doctor Eduardo  Wilde,provincial,VI,60035,Avellaneda,1,-34.6782056572109,-58.3411168921278
68,2015,0,Hospital Municipal Doctor Eduardo  Wilde,municipal,VI,60035,Avellaneda,0,-34.6782056572109,-58.3411168921278
69,2014,180,Hospital Local Municipal Doctor Pedro Solanet,municipal,VIII,60042,Ayacucho,259,-37.0347821697162,-58.4425813265357
70,2015,173,Hospital Local Municipal Doctor Pedro Solanet,municipal,VIII,60042,Ayacucho,263,-37.0347821697162,-58.4425813265357
71,2016,142,Hospital Local Municipal Doctor Pedro Solanet,Municipal,VIII,60042,Ayacucho,219,-37.0347821697162,-58.4425813265357
72,2017,124,Hospital Local Municipal Doctor Pedro Solanet,municipal,VIII,60042,Ayacucho,200,-37.0347821697162,-58.4425813265357
73,2014,214,Hospital Zonal Esp. en Pediatría A. Diego,provincial,IX,60049,Azul,679,-36.7857719233293,-59.69665215894
74,2014,4,Hospital Municipal Doctor Angel Pintos,municipal,IX,60049,Azul,4,-36.7857719233293,-59.69665215894
75,2014,0,Hospital Local Chillar,municipal,IX,60049,Azul,0,-36.7857719233293,-59.69665215894
76,2014,0,Hospital Municipal Casella Solá,municipal,IX,60049,Azul,0,-36.7857719233293,-59.69665215894
77,2014,0,Hospital Local General de Agudos Doctor Horacio Ferro,municipal,IX,60049,Azul,0,-36.7857719233293,-59.69665215894
78,2015,294,Hospital Zonal Esp. en Pediatría A. Diego,provincial,IX,60049,Azul,768,-36.7857719233293,-59.69665215894
79,2016,275,Hospital Zonal Esp. Mat. Infantil A. Diego,Provincial,IX,60049,Azul,806,-36.7857719233293,-59.69665215894
80,2017,222,Hospital Zonal Esp. Mat. Infantil A. Diego,Provincial,IX,60049,Azul,703,-36.7857719233293,-59.69665215894
81,2015,2,Hospital Municipal Doctor Angel Pintos,municipal,IX,60049,Azul,2,-36.7857719233293,-59.69665215894
82,2016,1,Hospital Municipal Doctor Angel Pintos,Provincial,IX,60049,Azul,1,-36.7857719233293,-59.69665215894
83,2017,1,Hospital Municipal Doctor Angel Pintos,municipal,IX,60049,Azul,1,-36.7857719233293,-59.69665215894
84,2015,0,Hospital Local Chillar,municipal,IX,60049,Azul,0,-36.7857719233293,-59.69665215894
85,2015,0,Hospital Municipal Casella Solá,municipal,IX,60049,Azul,0,-36.7857719233293,-59.69665215894
86,2015,0,Hospital Local General de Agudos Doctor Horacio Ferro,municipal,IX,60049,Azul,0,-36.7857719233293,-59.69665215894
87,2017,0,Hospital Local General Doctor Horacio Ferro,municipal,IX,60049,Azul,1,-36.7857719233293,-59.69665215894
88,2017,974,Hospital Interzonal General de Ag. Doctor J. Penna,Provincial,I,60056,Bahía Blanca,2439,-38.5808546732895,-62.1656895327094
89,2015,917,Hospital Interzonal General Doctor J. Penna,provincial,I,60056,Bahía Blanca,2922,-38.5808546732895,-62.1656895327094
90,2016,872,Hospital Interzonal General Doctor J. Penna,Provincial,I,60056,Bahía Blanca,2642,-38.5808546732895,-62.1656895327094
91,2014,905,Hospital Interzonal General Doctor J. Penna,provincial,I,60056,Bahía Blanca,2947,-38.5808546732895,-62.1656895327094
92,2017,0,Hospital Menor Leonor de Cerelli,municipal,I,60056,Bahía Blanca,36,-38.5808546732895,-62.1656895327094
93,2014,256,Hospital Subzonal Municipal,municipal,VIII,60063,Balcarce,537,-37.7142728192546,-58.2720776956148
94,2016,275,Hospital Subzonal Municipal de Balcarce,Municipal,VIII,60063,Balcarce,515,-37.7142728192546,-58.2720776956148
95,2015,272,Hospital Subzonal Municipal,municipal,VIII,60063,Balcarce,493,-37.7142728192546,-58.2720776956148
96,2017,250,Hospital Subzonal Municipal de Balcarce,municipal,VIII,60063,Balcarce,465,-37.7142728192546,-58.2720776956148
97,2014,123,Hospital Subzonal General Doctor L. Piñeiro,municipal,IV,60070,Baradero,226,-33.9321914567436,-59.4929504876902
98,2017,159,Hospital Subzonal General Doctor L. Piñeiro,municipal,IV,60070,Baradero,279,-33.9321914567436,-59.4929504876902
99,2016,151,Hospital Subzonal General Doctor L. Piñeiro,Municipal,IV,60070,Baradero,263,-33.9321914567436,-59.4929504876902
100,2015,116,Hospital Subzonal General Doctor L. Piñeiro,municipal,IV,60070,Baradero,247,-33.9321914567436,-59.4929504876902
101,2014,152,Hospital Local General Doctor A. Saintout,municipal,IX,60084,Benito Juárez,247,-37.585278315595,-59.8883008698795
102,2016,177,Hospital Local General Doctor A. Saintout,Municipal,IX,60084,Benito Juárez,282,-37.585278315595,-59.8883008698795
103,2015,137,Hospital Local General Doctor A. Saintout,municipal,IX,60084,Benito Juárez,223,-37.585278315595,-59.8883008698795
104,2017,135,Ente Descent. Hospital Doctor A. Saintout,municipal,IX,60084,Benito Juárez,194,-37.585278315595,-59.8883008698795
105,2017,1000,Hospital Zonal General de  Ag. Evita Pueblo,Provincial,VI,60091,Berazategui,3069,-34.8179736855799,-58.1552626919147
106,2016,983,Hospital Zonal General de Ag. Evita Pueblo,Provincial,VI,60091,Berazategui,3375,-34.8179736855799,-58.1552626919147
107,2015,927,Hospital Zonal General de Ag. Evita Pueblo,provincial,VI,60091,Berazategui,3312,-34.8179736855799,-58.1552626919147
108,2014,893,Hospital Zonal General de Ag. Evita Pueblo,provincial,VI,60091,Berazategui,3200,-34.8179736855799,-58.1552626919147
109,2014,0,Centro de Diagnóstico y Tratam. Doctor J. Sábatto,municipal,VI,60091,Berazategui,0,-34.8179736855799,-58.1552626919147
110,2014,0,Unidad Sanitaria Nº 5,municipal,VI,60091,Berazategui,0,-34.8179736855799,-58.1552626919147
111,2015,0,Centro de Diagnóstico y Tratam. Doctor J. Sábatto,municipal,VI,60091,Berazategui,0,-34.8179736855799,-58.1552626919147
112,2015,0,Unidad Sanitaria Nº 5,municipal,VI,60091,Berazategui,0,-34.8179736855799,-58.1552626919147
113,2014,157,Hospital Zonal General de Ag. Doctor Larrain,provincial,XI,60098,Berisso,407,-34.9094634802474,-57.8283887071809
114,2017,154,Hospital Zonal General de Agudos Doctor M. V. Larraín,Provincial,XI,60098,Berisso,492,-34.9094634802474,-57.8283887071809
115,2016,116,Hospital Zonal General de Ag. Doctor Larrain,Provincial,XI,60098,Berisso,398,-34.9094634802474,-57.8283887071809
116,2015,10,Hospital Zonal General de Ag. Doctor Larrain,provincial,XI,60098,Berisso,87,-34.9094634802474,-57.8283887071809
117,2014,231,Hospital Subzonal General Doctor Capredoni,municipal,IX,60105,Bolívar,459,-36.2982217499893,-61.1496836148108
118,2014,0,Hospital Municipal  Pirovano,municipal,IX,60105,Bolívar,0,-36.2982217499893,-61.1496836148108
119,2014,0,Hospital Juana G. de Miguens,municipal,IX,60105,Bolívar,0,-36.2982217499893,-61.1496836148108
120,2017,254,Hospital Subzonal General Doctor M. A. Capredoni ,municipal,IX,60105,Bolívar,398,-36.2982217499893,-61.1496836148108
