,anio,municipio_nombre,municipio_id,sexo,intervalo_peso,nacidos_cantidad,centroide_lat,centroide_lon
0,2014,25 De Mayo,06854,Masculino,1000-1499,2,-35.5265113228112,-60.2301576569223
1,2014,25 De Mayo,06854,Masculino,1500-1999,2,-35.5265113228112,-60.2301576569223
2,2014,25 De Mayo,06854,Masculino,2000-2499,13,-35.5265113228112,-60.2301576569223
3,2014,25 De Mayo,06854,Masculino,2500-2999,40,-35.5265113228112,-60.2301576569223
4,2014,25 De Mayo,06854,Masculino,3000-3499,117,-35.5265113228112,-60.2301576569223
5,2014,25 De Mayo,06854,Masculino,3500 y más,116,-35.5265113228112,-60.2301576569223
6,2014,25 De Mayo,06854,Masculino,Ignorado,2,-35.5265113228112,-60.2301576569223
7,2014,Adolfo Alsina,06007,Masculino,1000-1499,1,-37.1963375143524,-63.0560058448787
8,2014,Adolfo Alsina,06007,Masculino,1500-1999,1,-37.1963375143524,-63.0560058448787
9,2014,Adolfo Alsina,06007,Masculino,2000-2499,4,-37.1963375143524,-63.0560058448787
10,2014,Adolfo Alsina,06007,Masculino,2500-2999,16,-37.1963375143524,-63.0560058448787
11,2014,Adolfo Alsina,06007,Masculino,3000-3499,50,-37.1963375143524,-63.0560058448787
12,2014,Adolfo Alsina,06007,Masculino,3500 y más,41,-37.1963375143524,-63.0560058448787
13,2014,Adolfo Alsina,06007,Masculino,Ignorado,8,-37.1963375143524,-63.0560058448787
14,2014,Adolfo Gonzales Chaves,06014,Masculino,2000-2499,5,-37.9642254145303,-60.2490776485677
15,2014,Adolfo Gonzales Chaves,06014,Masculino,2500-2999,16,-37.9642254145303,-60.2490776485677
16,2014,Adolfo Gonzales Chaves,06014,Masculino,3000-3499,53,-37.9642254145303,-60.2490776485677
17,2014,Adolfo Gonzales Chaves,06014,Masculino,3500 y más,27,-37.9642254145303,-60.2490776485677
18,2014,Adolfo Gonzales Chaves,06014,Masculino,Ignorado,2,-37.9642254145303,-60.2490776485677
19,2014,Alberti,06021,Masculino,1500-1999,3,-35.0363817959326,-60.2828693081193
20,2014,Alberti,06021,Masculino,2000-2499,5,-35.0363817959326,-60.2828693081193
21,2014,Alberti,06021,Masculino,2500-2999,8,-35.0363817959326,-60.2828693081193
22,2014,Alberti,06021,Masculino,3000-3499,40,-35.0363817959326,-60.2828693081193
23,2014,Alberti,06021,Masculino,3500 y más,24,-35.0363817959326,-60.2828693081193
24,2014,Almirante Brown,06028,Masculino,1000-1499,45,-34.8355700988623,-58.3673978494737
25,2014,Almirante Brown,06028,Masculino,1500-1999,79,-34.8355700988623,-58.3673978494737
26,2014,Almirante Brown,06028,Masculino,2000-2499,246,-34.8355700988623,-58.3673978494737
27,2014,Almirante Brown,06028,Masculino,2500-2999,803,-34.8355700988623,-58.3673978494737
28,2014,Almirante Brown,06028,Masculino,3000-3499,2227,-34.8355700988623,-58.3673978494737
29,2014,Almirante Brown,06028,Masculino,3500 y más,2234,-34.8355700988623,-58.3673978494737
30,2014,Almirante Brown,06028,Masculino,500-999,30,-34.8355700988623,-58.3673978494737
31,2014,Almirante Brown,06028,Masculino,Ignorado,53,-34.8355700988623,-58.3673978494737
32,2014,Arrecifes,06077,Masculino,1500-1999,3,-34.0113151746224,-60.0627625274553
33,2014,Arrecifes,06077,Masculino,2000-2499,11,-34.0113151746224,-60.0627625274553
34,2014,Arrecifes,06077,Masculino,2500-2999,44,-34.0113151746224,-60.0627625274553
35,2014,Arrecifes,06077,Masculino,3000-3499,104,-34.0113151746224,-60.0627625274553
36,2014,Arrecifes,06077,Masculino,3500 y más,99,-34.0113151746224,-60.0627625274553
37,2014,Arrecifes,06077,Masculino,Ignorado,4,-34.0113151746224,-60.0627625274553
38,2014,Avellaneda,06035,Masculino,1000-1499,28,-34.6782056572109,-58.3411168921278
39,2014,Avellaneda,06035,Masculino,1500-1999,50,-34.6782056572109,-58.3411168921278
40,2014,Avellaneda,06035,Masculino,2000-2499,151,-34.6782056572109,-58.3411168921278
41,2014,Avellaneda,06035,Masculino,2500-2999,519,-34.6782056572109,-58.3411168921278
42,2014,Avellaneda,06035,Masculino,3000-3499,1204,-34.6782056572109,-58.3411168921278
43,2014,Avellaneda,06035,Masculino,3500 y más,1171,-34.6782056572109,-58.3411168921278
44,2014,Avellaneda,06035,Masculino,500-999,19,-34.6782056572109,-58.3411168921278
45,2014,Avellaneda,06035,Masculino,Ignorado,38,-34.6782056572109,-58.3411168921278
46,2014,Avellaneda,06035,Masculino,Menor a 500,3,-34.6782056572109,-58.3411168921278
47,2014,Ayacucho,06042,Masculino,2000-2499,4,-37.0347821697162,-58.4425813265357
48,2014,Ayacucho,06042,Masculino,2500-2999,31,-37.0347821697162,-58.4425813265357
49,2014,Ayacucho,06042,Masculino,3000-3499,70,-37.0347821697162,-58.4425813265357
50,2014,Ayacucho,06042,Masculino,3500 y más,54,-37.0347821697162,-58.4425813265357
51,2014,Azul,06049,Masculino,1000-1499,4,-36.7857719233293,-59.69665215894
52,2014,Azul,06049,Masculino,1500-1999,10,-36.7857719233293,-59.69665215894
53,2014,Azul,06049,Masculino,2000-2499,26,-36.7857719233293,-59.69665215894
54,2014,Azul,06049,Masculino,2500-2999,91,-36.7857719233293,-59.69665215894
55,2014,Azul,06049,Masculino,3000-3499,215,-36.7857719233293,-59.69665215894
56,2014,Azul,06049,Masculino,3500 y más,219,-36.7857719233293,-59.69665215894
57,2014,Azul,06049,Masculino,Ignorado,8,-36.7857719233293,-59.69665215894
58,2014,Bahía Blanca,06056,Masculino,1000-1499,20,-38.5808546732895,-62.1656895327094
59,2014,Bahía Blanca,06056,Masculino,1500-1999,42,-38.5808546732895,-62.1656895327094
60,2014,Bahía Blanca,06056,Masculino,2000-2499,118,-38.5808546732895,-62.1656895327094
61,2014,Bahía Blanca,06056,Masculino,2500-2999,374,-38.5808546732895,-62.1656895327094
62,2014,Bahía Blanca,06056,Masculino,3000-3499,1007,-38.5808546732895,-62.1656895327094
63,2014,Bahía Blanca,06056,Masculino,3500 y más,1012,-38.5808546732895,-62.1656895327094
64,2014,Bahía Blanca,06056,Masculino,500-999,11,-38.5808546732895,-62.1656895327094
65,2014,Bahía Blanca,06056,Masculino,Ignorado,11,-38.5808546732895,-62.1656895327094
66,2014,Bahía Blanca,06056,Masculino,Menor a 500,2,-38.5808546732895,-62.1656895327094
67,2014,Balcarce,06063,Masculino,1000-1499,1,-37.7142728192546,-58.2720776956148
68,2014,Balcarce,06063,Masculino,1500-1999,2,-37.7142728192546,-58.2720776956148
69,2014,Balcarce,06063,Masculino,2000-2499,8,-37.7142728192546,-58.2720776956148
70,2014,Balcarce,06063,Masculino,2500-2999,51,-37.7142728192546,-58.2720776956148
71,2014,Balcarce,06063,Masculino,3000-3499,170,-37.7142728192546,-58.2720776956148
72,2014,Balcarce,06063,Masculino,3500 y más,137,-37.7142728192546,-58.2720776956148
73,2014,Balcarce,06063,Masculino,500-999,2,-37.7142728192546,-58.2720776956148
74,2014,Balcarce,06063,Masculino,Ignorado,2,-37.7142728192546,-58.2720776956148
75,2014,Baradero,06070,Masculino,1000-1499,3,-33.9321914567436,-59.4929504876902
76,2014,Baradero,06070,Masculino,1500-1999,2,-33.9321914567436,-59.4929504876902
77,2014,Baradero,06070,Masculino,2000-2499,16,-33.9321914567436,-59.4929504876902
78,2014,Baradero,06070,Masculino,2500-2999,40,-33.9321914567436,-59.4929504876902
79,2014,Baradero,06070,Masculino,3000-3499,118,-33.9321914567436,-59.4929504876902
80,2014,Baradero,06070,Masculino,3500 y más,85,-33.9321914567436,-59.4929504876902
